variant,case,cores,makespan,extra_ddr,plan_hash
control,051,3,291222,9045304,9cfada533b647589786ab1566c59dabd07a4685288397df1150fb4a309d8fa05
paced,051,3,278618,9045350,21d5b6f2fec685393aa7972084b9c5655345c5bdec5daf46fbc0921fe4fa62c9
