problem,case,cores,status,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,runtime_id,algorithm_id,run_id,attempt_id
P2,005,5,ok,66385.0,0.31230520899407566,0.9781461670063436,3430330.0,3096916.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-005-k5
P2,006,1,ok,69275.0,0.2575098329980392,0.2869029580033384,543348.0,0.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-006-k1
P2,006,2,ok,37257.0,0.24236941599519923,0.27525050000986084,574452.0,31104.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-006-k2
P2,006,3,ok,32401.0,0.23574229099904187,0.24748691701097414,587252.0,43904.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-006-k3
P2,006,4,ok,31425.0,0.2356401669967454,0.28586929201264866,617332.0,73984.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-006-k4
P2,006,5,ok,31789.0,0.2583430420199875,0.2767732500215061,606964.0,63616.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-006-k5
P2,007,1,ok,979262.0,0.3198227090178989,0.8614424160041381,1732608.0,0.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-007-k1
P2,007,2,ok,490814.0,0.31695491599384695,0.7918319999880623,1760256.0,27648.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-007-k2
P2,007,3,ok,326994.0,0.38039225002285093,0.845858374988893,1787904.0,55296.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-007-k3
P2,007,4,ok,246030.0,0.36123758301255293,0.8056516250071581,1815552.0,82944.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-007-k4
