cores,n,median,p95,max
1,100,0.3195636670134263,1.2070408726067399,1.9279828330036253
2,100,0.31732129100419115,1.1437250607617897,1.768817999982275
3,100,0.32933987549040467,1.122184214906883,1.6982103330083191
4,100,0.31368933350313455,1.0852589777481623,1.9403264580178075
5,100,0.3132388125086436,1.118879188968276,2.0433142500114627
