case_id,cores,current_fixed_run,screenshot_display,numeric_difference
001,2,1.9946435294520313,1.99,0.004643529452031281
002,2,1.9172692938283171,1.65,0.2672692938283172
003,2,2.6292300639612303,1.75,0.8792300639612303
004,2,2.0022300469483567,1.97,0.03223004694835674
005,2,2.399809256098785,1.23,1.1698092560987852
006,2,2.220414399442464,2.0,0.22041439944246388
007,2,2.0644896893974303,2.0,0.06448968939743027
008,2,3.8796725068028834,3.55,0.3296725068028836
009,2,2.485904755725686,1.66,0.8259047557256862
010,2,2.943910364904204,1.91,1.033910364904204
011,2,1.9935777043801135,1.99,0.003577704380113511
012,2,3.115305530658512,1.96,1.155305530658512
013,2,1.9966187083011846,2.0,-0.003381291698815403
014,2,2.019089981398973,2.0,0.01908998139897289
015,2,2.4398437285057915,1.96,0.4798437285057915
016,2,1.9204241622017446,1.7,0.22042416220174466
017,2,2.871276652028993,1.99,0.881276652028993
018,2,2.055862594107316,2.0,0.05586259410731609
019,2,3.045717288491855,2.06,0.985717288491855
020,2,1.9984469952734638,2.0,-0.001553004726536189
021,2,2.0565716046359728,2.12,-0.06342839536402733
022,2,2.0235210263720598,2.0,0.023521026372059772
023,2,3.059460538463458,2.24,0.8194605384634577
024,2,1.9196679833345605,1.7,0.2196679833345605
025,2,2.0677361747723078,2.0,0.06773617477230776
026,2,2.5175870470003043,2.26,0.25758704700030455
027,2,2.10886006840553,2.12,-0.01113993159447002
028,2,2.198511196618721,2.11,0.08851119661872131
029,2,1.9891419491525424,1.9,0.08914194915254248
030,2,2.0130560300979776,2.01,0.0030560300979778354
031,2,2.061347717223066,1.99,0.07134771722306588
032,2,2.3365281614703726,1.95,0.3865281614703726
033,2,2.026709861812848,2.01,0.01670986181284828
034,2,2.2042972233044744,2.06,0.14429722330447436
035,2,2.3267470739170406,1.78,0.5467470739170406
036,2,1.998656848356892,2.0,-0.0013431516431079427
037,2,1.992910964754114,1.99,0.0029109647541138983
038,2,2.0464109393464947,2.03,0.016410939346494846
039,2,2.03405823288904,2.07,-0.035941767110959866
040,2,2.0929314616019816,1.93,0.1629314616019817
041,2,2.007639719048805,2.02,-0.012360280951194902
042,2,2.1013565618650265,2.0,0.1013565618650265
043,2,2.5208072165907187,1.95,0.5708072165907188
044,2,2.734415952397818,2.26,0.4744159523978184
045,2,1.99200748505368,1.99,0.0020074850536799804
046,2,2.5480193183284485,2.16,0.3880193183284484
047,2,2.295391753664452,1.5,0.7953917536644521
048,2,2.1759821393599936,1.29,0.8859821393599936
049,2,2.28802573906556,1.49,0.7980257390655601
050,2,2.1404773140005435,1.55,0.5904773140005435
051,2,1.9160520299566417,1.7,0.21605202995664174
052,2,2.4445935868754662,2.0,0.44459358687546624
053,2,2.4123015938017,1.96,0.4523015938017001
054,2,2.595662489450805,1.69,0.9056624894508052
055,2,3.074962479946178,2.09,0.9849624799461782
056,2,2.230736432237615,1.5,0.7307364322376149
057,2,2.306824765362481,1.93,0.3768247653624812
058,2,2.0223852803940243,2.03,-0.007614719605975484
059,2,2.2459587672412393,2.25,-0.004041232758760671
060,2,2.1941019203566694,2.03,0.1641019203566696
061,2,2.0679668872397996,1.98,0.08796688723979962
062,2,1.8854177123564873,1.87,0.015417712356487145
063,2,1.8880118671332617,1.81,0.07801186713326169
064,2,1.9664643555189796,1.1,0.8664643555189795
065,2,2.906720709864709,1.98,0.9267207098647092
066,2,2.493126145642393,1.85,0.6431261456423929
067,2,2.106585761594857,2.07,0.03658576159485705
068,2,2.4850387756502643,1.42,1.0650387756502644
069,2,2.2060010528162834,1.23,0.9760010528162835
070,2,2.450284090909091,1.98,0.47028409090909085
071,2,2.0584267217930585,1.18,0.8784267217930586
072,2,2.0549412241993297,2.03,0.02494122419932987
073,2,2.287629347638392,2.25,0.03762934763839221
074,2,2.123966733457319,2.04,0.08396673345731909
075,2,2.411624499463083,1.84,0.571624499463083
076,2,2.0330545289119066,2.02,0.013054528911906615
077,2,2.186119386516606,2.0,0.18611938651660598
078,2,2.18356909529221,2.12,0.06356909529220989
079,2,2.0755581409587487,2.04,0.03555814095874865
080,2,2.005423067946236,2.0,0.005423067946236149
081,2,1.9729522472640308,1.97,0.0029522472640308717
082,2,2.3931952152093676,1.93,0.4631952152093677
083,2,2.524470585428125,2.27,0.25447058542812506
084,2,3.954135153376942,3.65,0.3041351533769423
085,2,2.411258999961425,1.94,0.47125899996142495
086,2,2.4524741606081317,1.25,1.2024741606081317
087,2,2.1896154356865676,2.0,0.18961543568656758
088,2,2.319644659417668,1.45,0.8696446594176679
089,2,2.3350897525739853,2.0,0.3350897525739853
090,2,2.6139954302446817,2.18,0.43399543024468157
091,2,2.0367310299019232,2.01,0.026731029901923442
092,2,2.4996439130940318,2.29,0.20964391309403174
093,2,1.9616940280751844,1.96,0.0016940280751844838
094,2,2.458087244845094,1.98,0.4780872448450939
095,2,3.8924542674388647,3.63,0.2624542674388648
096,2,2.954382763702716,1.96,0.994382763702716
097,2,2.1642979912904567,2.23,-0.06570200870954324
098,2,2.151396837714618,1.98,0.17139683771461822
099,2,2.02602121893401,2.01,0.016021218934010317
100,2,2.696606572870415,1.88,0.8166065728704153
001,3,2.9678528232223567,2.97,-0.0021471767776435335
002,3,2.8007420317127676,2.6,0.2007420317127675
003,3,3.559845833727419,2.05,1.509845833727419
004,3,3.001392235609103,2.93,0.0713922356091028
005,3,3.0989466861124617,1.14,1.9589466861124618
006,3,3.035990470954737,2.66,0.3759904709547368
007,3,3.096576695596861,2.99,0.106576695596861
008,3,5.783957866268104,4.31,1.4739578662681048
009,3,3.4473986098927054,2.17,1.2773986098927055
010,3,3.8105858125575076,2.82,0.9905858125575078
011,3,2.6527396768402154,2.8,-0.14726032315978443
012,3,4.132316945240926,2.82,1.312316945240926
013,3,2.98750438591527,2.99,-0.002495614084730313
014,3,3.023657084517264,2.99,0.03365708451726368
015,3,4.303753852126859,2.96,1.3437538521268593
016,3,2.6750015428321405,2.08,0.5950015428321405
017,3,4.00990099009901,2.97,1.0399009900990097
018,3,3.0313375265597835,2.96,0.07133752655978354
019,3,3.742114001106807,2.88,0.8621140011068071
020,3,2.8875904496056806,2.99,-0.10240955039431965
021,3,3.0678922471919035,3.17,-0.10210775280809647
022,3,3.0755064456721914,2.97,0.10550644567219125
023,3,4.408355504422233,3.09,1.3183555044222333
024,3,2.6732493351773314,2.08,0.5932493351773314
025,3,3.099790671228895,3.0,0.09979067122889518
026,3,2.9897531719960218,2.42,0.5697531719960218
027,3,2.8241500796249683,3.15,-0.3258499203750316
028,3,3.2720482939436635,3.0,0.2720482939436635
029,3,2.8997760790672533,2.95,-0.05022392093274686
030,3,3.0249338573041356,3.01,0.014933857304135767
031,3,2.904821073558648,2.9,0.004821073558648248
032,3,3.40786119562536,2.9,0.50786119562536
033,3,3.0339650260440716,3.0,0.03396502604407159
034,3,3.2188934285386996,3.06,0.1588934285386996
035,3,3.3382089493474023,1.78,1.5582089493474023
036,3,2.991890025534375,2.99,0.001890025534375006
037,3,2.836394824279424,2.84,-0.0036051757205757262
038,3,3.064308587802545,2.99,0.07430858780254468
039,3,2.9701671681573427,3.01,-0.03983283184265707
040,3,3.2058031140511756,2.31,0.8958031140511755
041,3,3.0015462773360637,3.02,-0.0184537226639363
042,3,3.138570548711164,2.97,0.16857054871116395
043,3,3.6497086291026206,2.55,1.0997086291026208
044,3,2.6753357012908254,2.31,0.3653357012908254
045,3,2.921187879351643,2.95,-0.028812120648357364
046,3,3.3689373629051915,2.58,0.7889373629051915
047,3,3.1534783994436877,1.74,1.4134783994436877
048,3,2.2333892802942743,1.38,0.8533892802942744
049,3,3.281439127963353,1.88,1.4014391279633531
050,3,2.910444859231607,1.75,1.1604448592316068
051,3,2.6648831426278328,2.09,0.5748831426278329
052,3,3.4980017072792178,2.98,0.5180017072792178
053,3,3.559998646283565,2.83,0.729998646283565
054,3,3.74008709498309,2.09,1.6500870949830904
055,3,3.7488564308022334,2.87,0.8788564308022333
056,3,3.317163330980608,1.84,1.477163330980608
057,3,3.2739132818067205,2.77,0.5039132818067205
058,3,2.9197494775959574,3.03,-0.11025052240404243
059,3,3.193314417927801,3.32,-0.12668558207219904
060,3,3.075841471770984,3.02,0.055841471770984086
061,3,2.973344632333115,2.91,0.06334463233311505
062,3,2.835597824737404,2.57,0.26559782473740423
063,3,2.678517002274644,2.6,0.07851700227464375
064,3,2.2700391877449233,1.21,1.0600391877449233
065,3,3.936795252225519,2.94,0.9967952522255192
066,3,3.467466249493018,2.22,1.247466249493018
067,3,3.1615280826489527,3.08,0.08152808264895262
068,3,3.2307410910258927,1.68,1.5507410910258927
069,3,2.4564282923016805,1.38,1.0764282923016806
070,3,3.556054083550597,2.93,0.626054083550597
071,3,2.3935981781376516,1.3,1.0935981781376516
072,3,3.083168216174764,3.0,0.083168216174764
073,3,3.098785521169775,3.28,-0.181214478830225
074,3,3.152899524508343,3.06,0.09289952450834305
075,3,3.4506824496868367,2.23,1.2206824496868367
076,3,3.0493141756747564,3.03,0.019314175674756573
077,3,3.029109589041096,2.95,0.07910958904109577
078,3,3.278869317492164,2.99,0.2888693174921637
079,3,3.113968188482803,3.11,0.003968188482803114
080,3,2.9119162721156244,2.91,0.0019162721156242846
081,3,2.9106824413721695,2.92,-0.009317558627830458
082,3,3.482785103608173,2.43,1.0527851036081728
083,3,3.6991210159014307,3.12,0.5791210159014306
084,3,5.932568638028449,5.47,0.46256863802844883
085,3,3.5485012450201974,2.43,1.1185012450201972
086,3,3.0858222569715923,1.34,1.7458222569715922
087,3,3.2298885326376277,2.9,0.32988853263762774
088,3,2.9535788759032053,1.71,1.2435788759032054
089,3,3.3249796114176062,2.92,0.4049796114176063
090,3,3.670341068369413,2.78,0.8903410683694131
091,3,3.048939581554298,2.99,0.05893958155429768
092,3,3.717710400902956,3.35,0.3677104009029559
093,3,2.956021192686133,2.96,-0.0039788073138669056
094,3,2.962597564783016,2.89,0.07259756478301593
095,3,5.830272573974177,4.37,1.4602725739741773
096,3,4.03788787108532,2.67,1.36788787108532
097,3,3.139466628491686,3.3,-0.16053337150831393
098,3,3.1035508133636522,2.31,0.7935508133636522
099,3,3.035651627431983,3.0,0.03565162743198291
100,3,3.3867016035116007,2.62,0.7667016035116005
001,4,3.952088702020887,3.95,0.0020887020208868456
002,4,3.608356062484503,3.26,0.34835606248450324
003,4,4.315292397870343,2.32,1.9952923978703434
004,4,3.9186325230209937,3.77,0.14863252302099372
005,4,3.2993340464442222,1.15,2.1493340464442223
006,4,3.444509127198636,3.09,0.35450912719863625
007,4,4.115603788155916,3.98,0.13560378815591578
008,4,7.646546857357922,4.32,3.326546857357922
009,4,4.284144909710963,2.19,2.094144909710963
010,4,4.513883842840089,3.25,1.2638838428400891
011,4,3.9397824232081913,3.94,-0.0002175767918086713
012,4,4.598645809012375,3.54,1.0586458090123747
013,4,3.942715024049234,3.94,0.0027150240492339606
014,4,3.9950011207186686,3.92,0.07500112071866871
015,4,4.426193506525917,3.47,0.9561935065259166
016,4,3.428615422079942,2.38,1.048615422079942
017,4,4.953902327704244,3.92,1.0339023277042445
018,4,3.951789262457949,3.92,0.031789262457949
019,4,3.8972191537390133,3.5,0.3972191537390133
020,4,3.660981308411215,3.98,-0.31901869158878515
021,4,4.236493145948847,4.24,-0.003506854051153141
022,4,4.0014094432699086,3.9,0.10140944326990864
023,4,5.590898727828188,4.06,1.5308987278281885
024,4,3.4233552684461257,2.38,1.0433552684461258
025,4,4.130323187780492,3.99,0.14032318778049202
026,4,3.272946222368855,2.72,0.5529462223688548
027,4,4.227412213249022,4.23,-0.0025877867509782604
028,4,4.388727400367189,4.04,0.3487274003671885
029,4,3.3009580733057926,3.41,-0.10904192669420754
030,4,4.033685462532285,4.01,0.023685462532284873
031,4,3.883356717085881,3.77,0.11335671708588091
032,4,3.7078822582088216,3.62,0.08788225820882145
033,4,4.049695735735187,4.01,0.039695735735187476
034,4,4.367470222830113,4.13,0.23747022283011354
035,4,4.275294354940373,1.78,2.4952943549403725
036,4,3.987901568600589,3.99,-0.002098431399411016
037,4,3.938503375843961,3.94,-0.001496624156038795
038,4,4.081705602584428,4.03,0.0517056025844278
039,4,3.8995856597519394,3.84,0.059585659751939524
040,4,4.046200510855683,2.3,1.746200510855683
041,4,3.9808679600822967,4.02,-0.039132039917702865
042,4,4.148840138037225,3.88,0.2688401380372252
043,4,4.57300959604821,2.54,2.0330095960482097
044,4,3.7727417108510273,2.08,1.6927417108510272
045,4,3.907244393293726,3.94,-0.032755606706273976
046,4,3.48487331400479,2.72,0.7648733140047899
047,4,3.8695409995378,1.75,2.1195409995378
048,4,2.3011048865601476,1.39,0.9111048865601477
049,4,4.139708518760678,2.13,2.009708518760678
050,4,3.445823070371308,1.77,1.6758230703713082
051,4,3.3983668903803133,2.39,1.0083668903803131
052,4,4.415570739352974,3.95,0.465570739352974
053,4,4.543812556308391,2.99,1.553812556308391
054,4,4.779012360156671,2.33,2.4490123601566713
055,4,4.6171031160152305,3.93,0.6871031160152303
056,4,4.161064257630781,2.1,2.061064257630781
057,4,3.8906911601850043,3.52,0.37069116018500425
058,4,3.973045494206781,4.05,-0.07695450579321861
059,4,4.478408992743607,4.48,-0.001591007256393162
