cores,n,median,p95,max
1,100,1.043833874995471,17.07279569615056,54.22652779199416
2,100,1.5686748335137963,23.883607502379164,36.09042441699421
3,100,1.6572008130024187,22.01224478095391,38.86581862499588
4,100,1.7696888754871907,23.047197906865037,40.91337133399793
5,100,2.0113144789793296,23.515262616348622,43.891654832987115
