problem,case,cores,status,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,runtime_id,algorithm_id,run_id,attempt_id
P3,001,1,ok,233110.0,0.2523149580229074,,1639552.0,0.0,0.0,q3-central-witness-20260925,q3-witness-structure,q3-witness-full500-20260925-s59,q3-witness-full500-20260925-s59-s01-P3-001-k1-unified-attention-witness-e0
P3,002,3,ok,93527.0,0.40216045899433084,,1230336.0,6144.0,0.0,q3-central-witness-20260925,q3-witness-structure,q3-witness-full500-20260925-s59,q3-witness-full500-20260925-s59-s01-P3-002-k3-unified-attention-witness-e0
P3,004,3,ok,130725.0,0.34449666598811746,,1013760.0,221184.0,0.0,q3-central-witness-20260925,q3-witness-structure,q3-witness-full500-20260925-s59,q3-witness-full500-20260925-s59-s01-P3-004-k3-unified-attention-witness-e0
P3,006,3,ok,27285.0,0.34449854100239463,,1295944.0,752596.0,0.0,q3-central-witness-20260925,q3-witness-structure,q3-witness-full500-20260925-s59,q3-witness-full500-20260925-s59-s01-P3-006-k3-unified-attention-witness-e0
P3,008,3,ok,84303.0,0.35302145799505524,,2654424.0,0.0,0.0,q3-central-witness-20260925,q3-witness-structure,q3-witness-full500-20260925-s59,q3-witness-full500-20260925-s59-s01-P3-008-k3-unified-attention-witness-e0
P3,010,3,ok,22823.0,0.3171928749943618,,1057570.0,673420.0,0.0,q3-central-witness-20260925,q3-witness-structure,q3-witness-full500-20260925-s59,q3-witness-full500-20260925-s59-s01-P3-010-k3-unified-attention-witness-e0
P3,012,3,ok,14299.0,0.4358928330184426,,902312.0,347414.0,0.0,q3-central-witness-20260925,q3-witness-structure,q3-witness-full500-20260925-s59,q3-witness-full500-20260925-s59-s01-P3-012-k3-unified-attention-witness-e0
P3,014,3,ok,5853384.0,38.86581862499588,,70467604.0,60534864.0,40748448.0,q3-central-witness-20260925,q3-witness-structure,q3-witness-full500-20260925-s59,q3-witness-full500-20260925-s59-s01-P3-014-k3-unified-attention-witness-e0
P3,016,3,ok,2884306.0,4.983722791017499,,398090.0,4872.0,0.0,q3-central-witness-20260925,q3-witness-structure,q3-witness-full500-20260925-s59,q3-witness-full500-20260925-s59-s01-P3-016-k3-unified-attention-witness-e0
P3,018,3,ok,331328.0,1.7275250420207158,,11658264.0,10065416.0,0.0,q3-central-witness-20260925,q3-witness-structure,q3-witness-full500-20260925-s59,q3-witness-full500-20260925-s59-s01-P3-018-k3-unified-attention-witness-e0
P3,020,3,ok,184495.0,3.567581875016913,,2359296.0,0.0,0.0,q3-central-witness-20260925,q3-witness-structure,q3-witness-full500-20260925-s59,q3-witness-full500-20260925-s59-s01-P3-020-k3-unified-attention-witness-e0
P3,022,3,ok,18462.0,0.5872150830109604,,227510.0,13824.0,0.0,q3-central-witness-20260925,q3-witness-structure,q3-witness-full500-20260925-s59,q3-witness-full500-20260925-s59-s01-P3-022-k3-unified-attention-witness-e0
P3,024,3,ok,955894.0,1.0040025830094237,,394826.0,1608.0,0.0,q3-central-witness-20260925,q3-witness-structure,q3-witness-full500-20260925-s59,q3-witness-full500-20260925-s59-s01-P3-024-k3-unified-attention-witness-e0
P3,026,3,ok,33181.0,0.34478554100496694,,1863418.0,1334564.0,0.0,q3-central-witness-20260925,q3-witness-structure,q3-witness-full500-20260925-s59,q3-witness-full500-20260925-s59-s01-P3-026-k3-unified-attention-witness-e0
P3,028,3,ok,13397125.0,14.002205541997682,,49107840.0,43199232.0,31339008.0,q3-central-witness-20260925,q3-witness-structure,q3-witness-full500-20260925-s59,q3-witness-full500-20260925-s59-s01-P3-028-k3-unified-attention-witness-e0
P3,030,3,ok,928296.0,3.545862708997447,,7594956.0,5200896.0,1299456.0,q3-central-witness-20260925,q3-witness-structure,q3-witness-full500-20260925-s59,q3-witness-full500-20260925-s59-s01-P3-030-k3-unified-attention-witness-e0
P3,032,3,ok,12161.0,0.5617573339841329,,305448.0,12360.0,0.0,q3-central-witness-20260925,q3-witness-structure,q3-witness-full500-20260925-s59,q3-witness-full500-20260925-s59-s01-P3-032-k3-unified-attention-witness-e0
