cores,n,median,p95,max
1,100,0.15942439599893987,0.6825960607675363,1.3348390829924028
2,100,1.3728677709877957,12.042686447905714,24.822436166985426
3,100,1.4984861459961394,11.65971815273513,26.003978332999395
4,100,1.3544448754983023,12.345364089586635,26.59782600001199
5,100,1.421874374995241,15.530020608344044,26.78827929100953
