problem,case,cores,status,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,runtime_id,algorithm_id,run_id,attempt_id
P1,001,1,ok,233110.0,0.14746537499013357,0.14309724999475293,1639552.0,0.0,0.0,nikolastarx-m5pro-macos-py312-20260924,q1-unified-structural-guard,20260924T1952Z-s59ee,nikolastarx-20260924T1952Z-s59ee-P1-001-k1-r0
P1,001,2,ok,116868.0,0.1475915419869125,0.14626287500141189,1640704.0,1152.0,0.0,nikolastarx-m5pro-macos-py312-20260924,q1-unified-structural-guard,20260924T1952Z-s59ee,nikolastarx-20260924T1952Z-s59ee-P1-001-k2-r0
P1,001,3,ok,78545.0,0.14663279097294435,0.14455745898885652,1641856.0,2304.0,0.0,nikolastarx-m5pro-macos-py312-20260924,q1-unified-structural-guard,20260924T1952Z-s59ee,nikolastarx-20260924T1952Z-s59ee-P1-001-k3-r0
P1,001,4,ok,58984.0,0.1468356660043355,0.14779258301132359,1643008.0,3456.0,0.0,nikolastarx-m5pro-macos-py312-20260924,q1-unified-structural-guard,20260924T1952Z-s59ee,nikolastarx-20260924T1952Z-s59ee-P1-001-k4-r0
P1,001,5,ok,47502.0,0.15271362499333918,0.15580041700741276,1644160.0,4608.0,0.0,nikolastarx-m5pro-macos-py312-20260924,q1-unified-structural-guard,20260924T1952Z-s59ee,nikolastarx-20260924T1952Z-s59ee-P1-001-k5-r0
P1,002,1,ok,261945.0,0.1529058339947369,0.40239016598206945,1224192.0,0.0,0.0,nikolastarx-m5pro-macos-py312-20260924,q1-unified-structural-guard,20260924T1952Z-s59ee,nikolastarx-20260924T1952Z-s59ee-P1-002-k1-r0
P1,002,2,ok,135690.0,0.14712820801651105,0.39452274999348447,1264128.0,39936.0,0.0,nikolastarx-m5pro-macos-py312-20260924,q1-unified-structural-guard,20260924T1952Z-s59ee,nikolastarx-20260924T1952Z-s59ee-P1-002-k2-r0
P1,002,3,ok,93963.0,0.1434159580094274,0.2742734159983229,1267200.0,43008.0,0.0,nikolastarx-m5pro-macos-py312-20260924,q1-unified-structural-guard,20260924T1952Z-s59ee,nikolastarx-20260924T1952Z-s59ee-P1-002-k3-r0
P1,002,4,ok,73544.0,0.27389270800631493,0.27303920799749903,1300992.0,76800.0,0.0,nikolastarx-m5pro-macos-py312-20260924,q1-unified-structural-guard,20260924T1952Z-s59ee,nikolastarx-20260924T1952Z-s59ee-P1-002-k4-r0
P1,002,5,ok,55067.0,0.5224085419904441,0.2747820839867927,1300992.0,76800.0,0.0,nikolastarx-m5pro-macos-py312-20260924,q1-unified-structural-guard,20260924T1952Z-s59ee,nikolastarx-20260924T1952Z-s59ee-P1-002-k5-r0
P1,003,1,ok,602382.0,0.3937439169967547,15.523602083005244,1382568.0,98304.0,0.0,nikolastarx-m5pro-macos-py312-20260924,q1-unified-structural-guard,20260924T1952Z-s59ee,nikolastarx-20260924T1952Z-s59ee-P1-003-k1-r0
P1,003,2,ok,340580.0,7.574130624998361,2.87257945901365,2995566.0,1711302.0,0.0,nikolastarx-m5pro-macos-py312-20260924,q1-unified-structural-guard,20260924T1952Z-s59ee,nikolastarx-20260924T1952Z-s59ee-P1-003-k2-r0
P1,003,3,ok,225604.0,9.081176665989915,2.642867666989332,3809556.0,2525292.0,0.0,nikolastarx-m5pro-macos-py312-20260924,q1-unified-structural-guard,20260924T1952Z-s59ee,nikolastarx-20260924T1952Z-s59ee-P1-003-k3-r0
P1,003,4,ok,206064.0,9.211889583006268,2.1685346670274157,4549178.0,3264914.0,0.0,nikolastarx-m5pro-macos-py312-20260924,q1-unified-structural-guard,20260924T1952Z-s59ee,nikolastarx-20260924T1952Z-s59ee-P1-003-k4-r0
P1,003,5,ok,165184.0,8.90661616701982,2.472185625025304,5311200.0,4026936.0,0.0,nikolastarx-m5pro-macos-py312-20260924,q1-unified-structural-guard,20260924T1952Z-s59ee,nikolastarx-20260924T1952Z-s59ee-P1-003-k5-r0
P1,004,1,ok,392357.0,0.14890595900942571,0.2706264170119539,792576.0,0.0,0.0,nikolastarx-m5pro-macos-py312-20260924,q1-unified-structural-guard,20260924T1952Z-s59ee,nikolastarx-20260924T1952Z-s59ee-P1-004-k1-r0
P1,004,2,ok,199074.0,0.4019887500035111,0.15146904200082645,903168.0,110592.0,0.0,nikolastarx-m5pro-macos-py312-20260924,q1-unified-structural-guard,20260924T1952Z-s59ee,nikolastarx-20260924T1952Z-s59ee-P1-004-k2-r0
P1,004,3,ok,134043.0,0.3941963340039365,0.15111612499458715,1013760.0,221184.0,0.0,nikolastarx-m5pro-macos-py312-20260924,q1-unified-structural-guard,20260924T1952Z-s59ee,nikolastarx-20260924T1952Z-s59ee-P1-004-k3-r0
P1,004,4,ok,104188.0,0.399784292007098,0.15156087497598492,1124352.0,331776.0,0.0,nikolastarx-m5pro-macos-py312-20260924,q1-unified-structural-guard,20260924T1952Z-s59ee,nikolastarx-20260924T1952Z-s59ee-P1-004-k4-r0
P1,004,5,ok,88341.0,0.3979171669925563,0.14843724999809638,1234944.0,442368.0,0.0,nikolastarx-m5pro-macos-py312-20260924,q1-unified-structural-guard,20260924T1952Z-s59ee,nikolastarx-20260924T1952Z-s59ee-P1-004-k5-r0
P1,005,1,ok,95618.0,0.27565854199929163,1.6735237920074724,333414.0,0.0,0.0,nikolastarx-m5pro-macos-py312-20260924,q1-unified-structural-guard,20260924T1952Z-s59ee,nikolastarx-20260924T1952Z-s59ee-P1-005-k1-r0
P1,005,2,ok,60186.0,1.603556624992052,0.8157527089933865,932104.0,598690.0,0.0,nikolastarx-m5pro-macos-py312-20260924,q1-unified-structural-guard,20260924T1952Z-s59ee,nikolastarx-20260924T1952Z-s59ee-P1-005-k2-r0
P1,005,3,ok,47601.0,1.619853875017725,0.8215044160024263,1225692.0,892278.0,0.0,nikolastarx-m5pro-macos-py312-20260924,q1-unified-structural-guard,20260924T1952Z-s59ee,nikolastarx-20260924T1952Z-s59ee-P1-005-k3-r0
