cores,n,cache_mean_speedup,no_cache_mean_speedup,cache_gain_mean
1,100,1.1994067668191648,1.1967812877684478,1.0023494122707393
2,100,2.310310391534098,2.292834108085641,1.0081371680397562
3,100,3.254851376281836,3.1698115601222683,1.0316777215874744
4,100,4.082741812562437,3.9055800348611815,1.0536500058912106
5,100,4.735695697758854,4.452133838075971,1.084464979224268
