case,cores,baseline_cycles,cache_cycles,no_cache_cycles,cache_speedup,no_cache_speedup,cache_gain,attempt_id,revision
064,5,19116.0,6981.0,7029.0,2.738289643317576,2.7195902688860434,1.0068758057584872,q3-witness-full500-20260925-s59-s01-P3-064-k5-unified-attention-witness-e0,2
066,5,359070.0,75024.0,81181.0,4.7860684580934105,4.423079291952551,1.082067071870335,q3-witness-full500-20260925-s59-s01-P3-066-k5-unified-attention-witness-e0,2
068,5,362095.0,116345.0,131631.0,3.1122523529158967,2.7508337701605243,1.131385104645666,q3-witness-full500-20260925-s59-s01-P3-068-k5-unified-attention-witness-e0,2
070,5,117300.0,25196.0,29049.0,4.655500873154469,4.038004750593824,1.1529210985870773,q3-witness-full500-20260925-s59-s01-P3-070-k5-unified-attention-witness-e0,2
072,5,23897828.0,4732990.0,4856800.0,5.04920314642541,4.920488387415582,1.0261589396977386,q3-witness-full500-20260925-s59-s01-P3-072-k5-unified-attention-witness-e0,2
074,5,1682239.0,331285.0,354495.0,5.077920823460163,4.7454519809870375,1.0700605219071193,q3-witness-full500-20260925-s59-s01-P3-074-k5-unified-attention-witness-e0,2
076,5,6185113.0,1227997.0,1231574.0,5.0367492754461125,5.022120473475407,1.002912873565652,q3-witness-full500-20260925-s59-s01-P3-076-k5-unified-attention-witness-e0,2
078,5,2296143.0,464886.0,477473.0,4.9391528245634415,4.808948359383672,1.0270754550577992,q3-witness-full500-20260925-s59-s01-P3-078-k5-unified-attention-witness-e0,2
080,5,292138.0,68814.0,110937.0,4.2453279855843284,2.633368488421356,1.6121283459761095,q3-witness-full500-20260925-s59-s01-P3-080-k5-unified-attention-witness-e0,2
083,1,1057993.0,836631.0,836631.0,1.264587374840282,1.264587374840282,1.0,q3-witness-full500-20260925-s59-s01-P3-083-k1-unified-attention-witness-e0,2
085,1,3187899.0,2697812.0,2697812.0,1.18166091632775,1.18166091632775,1.0,q3-witness-full500-20260925-s59-s01-P3-085-k1-unified-attention-witness-e0,2
087,1,3974071.0,3603774.0,3603774.0,1.102752558845255,1.102752558845255,1.0,q3-witness-full500-20260925-s59-s01-P3-087-k1-unified-attention-witness-e0,2
089,1,693092.0,591236.0,591236.0,1.1722763837114114,1.1722763837114114,1.0,q3-witness-full500-20260925-s59-s01-P3-089-k1-unified-attention-witness-e0,2
091,1,9186769.0,9012897.0,9013014.0,1.019291466439703,1.019278234783614,1.0000129813976573,q3-witness-full500-20260925-s59-s01-P3-091-k1-unified-attention-witness-e0,2
