case_id,cores,old_makespan,calendar_makespan,baseline_makespan,old_speedup,calendar_speedup,m_change,old_solver_wall_s,calendar_solver_wall_s,old_extra_ddr_bytes,calendar_extra_ddr_bytes,old_spill_bytes,calendar_spill_bytes,old_cache_hit_rate,calendar_cache_hit_rate
001,1,233110,233110,233110,1.0,1.0,equal,0.21424970900989138,0.3473120410053525,0,0,0,0,0.0,0.0
001,2,116868,116868,233110,1.9946435294520313,1.9946435294520313,equal,0.22765120799886063,0.3400028749892954,1152,1152,0,0,0.0,0.0
001,3,78545,78545,233110,2.9678528232223567,2.9678528232223567,equal,0.23000158299691975,0.3331625830032863,2304,2304,0,0,0.0,0.0
001,4,58984,58984,233110,3.952088702020887,3.952088702020887,equal,0.23171704198466614,0.3275245830009226,3456,3456,0,0,0.0,0.0
001,5,47502,47502,233110,4.9073723211654245,4.9073723211654245,equal,0.2217865830170922,0.33260858300491236,4608,4608,0,0,0.0,0.0
002,1,262089,262089,261945,0.9994505683183956,0.9994505683183956,equal,0.5867852910014335,0.6972292909922544,0,0,0,0,0.0,0.0
002,2,136624,136624,261945,1.9172692938283171,1.9172692938283171,equal,0.5766437079873867,0.6801300000224728,18432,18432,0,0,0.0,0.0
002,3,93527,93527,261945,2.8007420317127676,2.8007420317127676,equal,0.33735262497793883,0.5906585420016199,6144,6144,0,0,0.0,0.0
002,4,72594,72594,261945,3.608356062484503,3.608356062484503,equal,0.46029970797826536,0.6947402499790769,49152,49152,0,0,0.0,0.0
002,5,54341,54341,261945,4.8203934414162415,4.8203934414162415,equal,0.45235070897615515,0.627539417007938,49152,49152,0,0,0.0,0.0
003,1,442629,442629,602212,1.360534443066315,1.360534443066315,equal,3.685232832998736,4.309005040995544,666392,666392,666392,666392,1.3601757841722527e-05,1.3601757841722527e-05
003,2,240493,229045,602212,2.504072883618234,2.6292300639612303,improved,3.184706708008889,7.883696250006324,2513964,2308254,0,0,0.13384170448760305,0.14970318522128206
003,3,180082,169168,602212,3.3440987994358125,3.559845833727419,improved,3.0552550830179825,7.800525416008895,3925592,3426252,0,0,0.27017438971196184,0.31425364758698093
003,4,156779,139553,602212,3.841152195128174,4.315292397870343,improved,2.9791441669804044,7.94944175001001,5409004,4665714,0,0,0.3779273716577792,0.42662489966920686
003,5,142025,124094,602212,4.240183066361556,4.852869598852482,improved,2.9444320000184234,8.107265042024665,6322682,5571644,0,0,0.4548292954848198,0.46397428575960914
004,1,386363,386363,392357,1.01551390790526,1.01551390790526,equal,0.3528349169937428,0.4754840830282774,0,0,0,0,0.0,0.0
004,2,195960,195960,392357,2.0022300469483567,2.0022300469483567,equal,0.4019165000063367,0.5321425419824664,110592,110592,0,0,0.0,0.0
004,3,130725,130725,392357,3.001392235609103,3.001392235609103,equal,0.307592790981289,0.4577675000182353,221184,221184,0,0,0.0,0.0
004,4,100126,100126,392357,3.9186325230209937,3.9186325230209937,equal,0.33598350000102073,0.5002511250204407,331776,331776,0,0,0.0,0.0
004,5,83440,83440,392357,4.702265100671141,4.702265100671141,equal,0.3282833339762874,0.4766614580003079,442368,442368,0,0,0.0,0.0
005,1,73504,73504,95618,1.300854375272094,1.300854375272094,equal,0.7215572499844711,0.935708999983035,0,0,0,0,0.0,0.0
