case,engine,repeat,seconds,makespan,full_equal
case_003.json,oracle,0,2.424826166,758098,True
case_003.json,exact,0,1.924284875,758098,True
case_003.json,exact,1,1.823240500,758098,True
case_003.json,oracle,1,2.347770625,758098,True
case_003.json,oracle,2,2.275450167,758098,True
case_003.json,exact,2,1.881789791,758098,True
